Day,High,Low,Precipitation,Snow
January 1,38.0,32.0,0.08,0.4
January 2,35.0,32.0,0.0,0.0
January 3,41.0,32.0,0.0,0.0
January 4,36.0,27.0,0.0,0.0
January 5,38.0,20.0,0.0,0.0
January 6,35.0,27.0,0.21,1.7
January 7,36.0,33.0,0.09,0.3
January 8,40.0,33.0,0.01,0.0
January 9,50.0,34.0,1.43,0.8
January 10,42.0,34.0,0.07,0.0
January 11,43.0,33.0,0.0,0.0
January 12,46.0,28.0,0.35,0.0
January 13,46.0,27.0,0.09,0.0
January 14,29.0,11.0,0.05,1.0
January 15,22.0,8.0,0.0,0.0
January 16,19.0,10.0,0.07,2.4
January 17,20.0,7.0,0.0,0.0
January 18,29.0,20.0,0.0,0.0
January 19,27.0,19.0,0.25,2.9
January 20,19.0,10.0,0.0,0.0
January 21,25.0,14.0,0.01,0.4
January 22,39.0,9.0,0.0,0.0
January 23,45.0,35.0,0.08,0.0
January 24,56.0,42.0,0.46,0.0
January 25,59.0,53.0,0.66,0.0
January 26,64.0,46.0,0.02,0.0
January 27,47.0,43.0,0.3,0.0
January 28,46.0,35.0,1.03,0.0
January 29,36.0,33.0,0.02,0.0
January 30,40.0,33.0,0.0,0.0
January 31,45.0,32.0,0.0,0.0
February 1,48.0,37.0,0.0,0.0
February 2,47.0,31.0,0.0,0.0
February 3,47.0,28.0,0.0,0.0
February 4,55.0,26.0,0.0,0.0
February 5,48.0,30.0,0.0,0.0
February 6,46.0,26.0,0.0,0.0
February 7,54.0,22.0,0.0,0.0
February 8,63.0,28.0,0.0,0.0
February 9,63.0,49.0,0.01,0.0
February 10,63.0,44.0,0.0,0.0
February 11,48.0,34.0,0.0,0.0
February 12,46.0,29.0,0.0,0.0
February 13,44.0,31.0,0.0,0.0
February 14,39.0,25.0,0.0,0.0
February 15,56.0,21.0,0.02,0.0
February 16,39.0,26.0,0.25,3.3
February 17,29.0,18.0,0.02,0.4
February 18,37.0,18.0,0.0,0.0
February 19,42.0,18.0,0.0,0.0
February 20,52.0,21.0,0.0,0.0
February 21,59.0,27.0,0.0,0.0
February 22,49.0,42.0,0.6,0.0
February 23,58.0,37.0,0.02,0.0
February 24,37.0,23.0,0.03,0.5
February 25,47.0,18.0,0.0,0.0
February 26,65.0,34.0,0.0,0.0
February 27,66.0,48.0,0.12,0.0
February 28,64.0,27.0,0.69,0.0
February 29,39.0,22.0,0.0,0.0
March 1,52.0,25.0,0.04,0.0
March 2,53.0,42.0,0.36,0.0
March 3,66.0,46.0,0.0,0.0
March 4,74.0,42.0,0.0,0.0
March 5,75.0,49.0,0.16,0.0
March 6,62.0,48.0,0.36,0.0
March 7,50.0,42.0,0.0,0.0
March 8,65.0,43.0,0.0,0.0
March 9,56.0,41.0,0.64,0.0
March 10,41.0,31.0,0.07,0.4
March 11,52.0,30.0,0.0,0.0
March 12,68.0,45.0,0.0,0.0
March 13,71.0,46.0,0.0,0.0
March 14,74.0,45.0,0.01,0.0
March 15,61.0,41.0,0.01,0.0
March 16,61.0,33.0,0.0,0.0
March 17,56.0,34.0,0.04,0.0
March 18,36.0,28.0,0.0,0.0
March 19,47.0,29.0,0.02,0.1
March 20,50.0,27.0,0.0,0.0
March 21,41.0,22.0,0.0,0.0
March 22,54.0,24.0,0.15,0.0
March 23,43.0,30.0,0.21,0.0
March 24,48.0,23.0,0.0,0.0
March 25,67.0,36.0,0.0,0.0
March 26,54.0,39.0,0.98,0.0
March 27,61.0,42.0,0.0,0.0
March 28,52.0,31.0,0.0,0.0
March 29,53.0,36.0,0.0,0.0
March 30,59.0,31.0,0.2,0.0
March 31,59.0,45.0,0.0,0.0
April 1,64.0,48.0,0.74,0.0
April 2,63.0,53.0,2.68,0.0
