Rank,Peak,All Time Peak,Actual gross,Adjusted gross (in 2022 dollars),Artist,Tour title,Year(s),Shows,Ref.
1,1,2,"$780,000,000","$780,000,000",Taylor Swift,The Eras Tour †,2023–2024,56,[1]
2,1,7,"$579,800,000","$579,800,000",Beyoncé,Renaissance World Tour,2023,56,[3]
3,1,2,"$411,000,000","$560,622,615",Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,[6]
4,2,10,"$397,300,000","$454,751,555",Pink,Beautiful Trauma World Tour,2018–2019,156,[7]
5,2,,"$345,675,146","$402,844,849",Taylor Swift,Reputation Stadium Tour,2018,53,[8]
6,2,10,"$305,158,363","$388,978,496",Madonna,The MDNA Tour,2012,88,[9]
7,2,,"$280,000,000","$381,932,682",Celine Dion,Taking Chances World Tour,2008–2009,131,[11]
7,,,"$257,600,000","$257,600,000",Pink,Summer Carnival †,2023–2024,41,[12]
9,,,"$256,084,556","$312,258,401",Beyoncé,The Formation World Tour,2016,49,[13]
10,,,"$250,400,000","$309,141,878",Taylor Swift,The 1989 World Tour,2015,85,[14]
11,,,"$229,100,000","$283,202,896",Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,[15][16]
12,,14,"$227,400,000","$295,301,479",Lady Gaga,The Monster Ball Tour *,2009–2011,203,[18]
13,,,"$204,000,000","$251,856,802",Katy Perry,Prismatic World Tour,2014–2015,151,[19]
14,1,,"$200,000,000","$299,676,265",Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,[20]
15,2,,"$194,000,000","$281,617,035",Madonna,Confessions Tour,2006,60,[5]
16,,,"$184,000,000","$227,452,347",Pink,The Truth About Love Tour,2013–2014,142,[22]
17,,,"$170,000,000","$213,568,571",Lady Gaga,Born This Way Ball,2012–2013,98,[d]
18,,,"$169,800,000","$207,046,755",Madonna,Rebel Heart Tour,2015–2016,82,[4]
19,,,"$167,700,000","$204,486,106",Adele,Adele Live 2016,2016–2017,121,[25]
20,,,"$150,000,000","$185,423,109",Taylor Swift,The Red Tour,2013–2014,86,[26]
